LogicalName,Label,SchemaName,EntitySetName,IsCustomEntity,IsActivity,PrimaryIdAttribute,PrimaryNameAttribute,Description
aaduser,Microsoft Entra ID,aaduser,aadusers,True,False,aaduserid,displayname,Virtual entity that represents Microsoft Entra ID
account,Account,Account,accounts,False,False,accountid,name,Business that represents a customer or potential customer. The company that is billed in business transactions.
aciviewmapper,ACIViewMapper,ACIViewMapper,aciviewmappers,False,False,aciviewmapperid,,Customized messages for an entity that has been renamed.
actioncard,Action Card,ActionCard,actioncards,False,False,actioncardid,title,Action card entity to show action cards.
actioncardusersettings,Action Card User Settings,ActionCardUserSettings,actioncardusersettingsset,False,False,actioncardusersettingsid,,Stores user settings for action cards
actioncarduserstate,ActionCardUserState,ActionCardUserState,actioncarduserstates,False,False,actioncarduserstateid,,
activityfileattachment,Activity File Attachment,activityfileattachment,activityfileattachments,True,False,activityfileattachmentid,filename,Attachment entity with data stored in file type attribute
activitymimeattachment,Attachment,ActivityMimeAttachment,activitymimeattachments,False,False,activitymimeattachmentid,filename,MIME attachment for an activity.
activityparty,Activity Party,ActivityParty,activityparties,False,False,activitypartyid,partyidname,Person or group associated with an activity. An activity can have multiple activity parties.
activitypointer,Activity,ActivityPointer,activitypointers,False,False,activityid,subject,"Task performed, or to be performed, by a user. An activity is any action for which an entry can be made on a calendar."
advancedsimilarityrule,Advanced Similarity Rule,AdvancedSimilarityRule,advancedsimilarityrules,False,False,advancedsimilarityruleid,name,A text match rule identifies similar records using keywords and key phrases determined with text analytics
adx_externalidentity,External Identity,adx_externalidentity,adx_externalidentities,True,False,adx_externalidentityid,adx_username,
adx_invitation,Invitation,adx_invitation,adx_invitations,True,False,adx_invitationid,adx_name,Send invitations to existing contacts or email addresses and assign them to web roles upon redemption.
adx_invitation_invitecontacts,adx_invitation_invitecontacts,adx_invitation_invitecontacts,adx_invitation_invitecontactsset,True,False,adx_invitation_invitecontactsid,,
adx_invitation_mspp_webrole_powerpagecomponent,adx_invitation_mspp_webrole_powerpagecomponent,adx_invitation_mspp_webrole_powerpagecomponent,adx_invitation_mspp_webrole_powerpagecomponentset,True,False,adx_invitation_mspp_webrole_powerpagecomponentid,,
adx_invitation_redeemedcontacts,adx_invitation_redeemedcontacts,adx_invitation_redeemedcontacts,adx_invitation_redeemedcontactsset,True,False,adx_invitation_redeemedcontactsid,,
adx_inviteredemption,Invite Redemption,adx_inviteredemption,adx_inviteredemptions,True,True,activityid,subject,Holds information about the redemption of an invite.
adx_kbarticle_kbarticle,adx_kbarticle_kbarticle,adx_kbarticle_kbarticle,adx_kbarticle_kbarticleset,True,False,adx_kbarticle_kbarticleid,,
adx_portalcomment,Portal Comment,adx_portalcomment,adx_portalcomments,True,True,activityid,subject,An activity which is used to share information between the user and the customer on the portal.
adx_setting,Setting,adx_setting,adx_settings,True,False,adx_settingid,adx_name,
adx_webformsession,Multistep Form Session,adx_webformsession,adx_webformsessions,True,False,adx_webformsessionid,adx_name,Serves as a mechanism to log the occurrence of an incomplete multistep form entry for a given user so they can return and complete it later.
agentconversationmessage,Agent Conversation Message,agentconversationmessage,agentconversationmessages,True,False,agentconversationmessageid,name,
agentconversationmessagefile,Agent Conversation Message File,agentconversationmessagefile,agentconversationmessagefiles,True,False,agentconversationmessagefileid,filename,
aicopilot,AICopilot,AICopilot,aicopilots,True,False,aicopilotid,name,AI Copilot
aicopilot_aiplugin,aicopilot_aiplugin,AICopilot_AIPlugin,aicopilot_aipluginset,True,False,aicopilot_aipluginid,,
aiinsightcard,AI Insight Card,aiinsightcard,aiinsightcards,True,False,aiinsightcardid,name,
aiplugin,AIPlugin,AIPlugin,aiplugins,True,False,aipluginid,name,AIPlugins component
aipluginauth,AIPluginAuth,AIPluginAuth,aipluginauths,True,False,aipluginauthid,name,Entity to store AIPlugin Auth Information
aipluginconversationstarter,AI Plugin Conversation Starter,AIPluginConversationStarter,aipluginconversationstarters,True,False,aipluginconversationstarterid,title,Conversation Starters for AI Plugins.
aipluginconversationstartermapping,AI Plugin Conversation Starter Mapping,AIPluginConversationStarterMapping,aipluginconversationstartermappings,True,False,aipluginconversationstartermappingid,name,AIPlugins component
aipluginexternalschema,AIPluginExternalSchema,AIPluginExternalSchema,aipluginexternalschemas,True,False,aipluginexternalschemaid,name,AIPluginExternalSchemas component
aipluginexternalschemaproperty,AIPluginExternalSchemaProperty,AIPluginExternalSchemaProperty,aipluginexternalschemaproperties,True,False,aipluginexternalschemapropertyid,name,AIPluginExternalSchemaProperties component
aiplugingovernance,AI Plugin Governance,AIPluginGovernance,aiplugingovernances,True,False,aiplugingovernanceid,name,
aiplugingovernanceext,AI Plugin Governance Extended,AIPluginGovernanceExt,aiplugingovernancesext,True,False,aiplugingovernanceextid,name,
aiplugininstance,AIPluginInstance,AIPluginInstance,aiplugininstances,True,False,aiplugininstanceid,name,AI Plugin Instances Component
aipluginoperation,AIPluginOperation,AIPluginOperation,aipluginoperations,True,False,aipluginoperationid,name,AIPluginOperations component
aipluginoperationparameter,AIPluginOperationParameter,AIPluginOperationParameter,aipluginoperationparameters,True,False,aipluginoperationparameterid,name,Parameter overrides for AI Operation
aipluginoperationresponsetemplate,AIPluginOperationResponseTemplate,AIPluginOperationResponseTemplate,aipluginoperationresponsetemplates,True,False,aipluginoperationresponsetemplateid,name,Content for the AI Plugin Operation Response Template
aiplugintitle,AIPluginTitle,AIPluginTitle,aiplugintitles,True,False,aiplugintitleid,name,AIPlugin Title
aipluginusersetting,AIPluginUserSetting,AIPluginUserSetting,aipluginusersettings,True,False,aipluginusersettingid,name,
aiskillconfig,AI Skill Config,aiskillconfig,aiskillconfigs,True,False,aiskillconfigid,description,
