SchemaName,Type,SourceEntity,TargetEntity,SourceAttribute,TargetAttribute,IntersectEntity
qrt_incentiveprogram_account,OneToMany,account,qrt_incentiveprogram,accountid,qrt_account,
qrt_msdyn_project_account,OneToMany,account,msdyn_project,accountid,qrt_account,
qrt_msdyn_project_activeaccount,OneToMany,account,msdyn_project,accountid,qrt_activeaccount,
qrt_msdyn_project_civilengineer,OneToMany,account,msdyn_project,accountid,qrt_civilengineer,
qrt_msdyn_project_currentlandowner,OneToMany,account,msdyn_project,accountid,qrt_currentlandowner,
qrt_msdyn_project_electricalcontractor,OneToMany,account,msdyn_project,accountid,qrt_electricalcontractor,
qrt_msdyn_project_electricalengineer,OneToMany,account,msdyn_project,accountid,qrt_electricalengineer,
qrt_msdyn_project_epccontractor,OneToMany,account,msdyn_project,accountid,qrt_epccontractor,
qrt_msdyn_project_fencingcontractor,OneToMany,account,msdyn_project,accountid,qrt_fencingcontractor,
qrt_msdyn_project_loanfinancingpartner,OneToMany,account,msdyn_project,accountid,qrt_loanfinancingpartner,
qrt_msdyn_project_miscellaneouscontractor,OneToMany,account,msdyn_project,accountid,qrt_miscellaneouscontractor,
qrt_msdyn_project_offtaker,OneToMany,account,msdyn_project,accountid,qrt_offtaker,
qrt_msdyn_project_omvendor,OneToMany,account,msdyn_project,accountid,qrt_omvendor,
qrt_msdyn_project_originallandowner,OneToMany,account,msdyn_project,accountid,qrt_originallandowner,
qrt_msdyn_project_structuralcontractor,OneToMany,account,msdyn_project,accountid,qrt_structuralcontractor,
qrt_msdyn_project_taxfinancingpartner,OneToMany,account,msdyn_project,accountid,qrt_taxfinancingpartner,
qrt_msdyn_project_thirdpartyqaqc_account,OneToMany,account,msdyn_project,accountid,qrt_thirdpartyqaqc,
qrt_msdyn_project_utility,OneToMany,account,msdyn_project,accountid,qrt_utility,
qrt_permits_account,OneToMany,account,qrt_permits,accountid,qrt_account,
Account_BulkDeleteFailures,OneToMany,account,bulkdeletefailure,accountid,regardingobjectid,
qrt_procurementrequests_vendor_account,OneToMany,account,qrt_procurementrequests,accountid,qrt_vendor,
qrt_studies_account,OneToMany,account,qrt_studies,accountid,qrt_account,
qrt_submittals_ReceivedFrom_account,OneToMany,account,qrt_submittals,accountid,qrt_receivedfrom,
qrt_titleandalta_account,OneToMany,account,qrt_titleandalta,accountid,qrt_account,
qrt_agreements_Account_account,OneToMany,account,qrt_agreements,accountid,qrt_account,
Account_Phonecalls,OneToMany,account,phonecall,accountid,regardingobjectid,
Account_CustomerAddress,OneToMany,account,customeraddress,accountid,parentid,
account_qrt_ScheduleRequestses,OneToMany,account,qrt_schedulerequests,accountid,regardingobjectid,
qrt_icrequest_Account_account,OneToMany,account,qrt_icrequest,accountid,qrt_account,
Account_SharepointDocumentLocation,OneToMany,account,sharepointdocumentlocation,accountid,regardingobjectid,
SocialActivity_PostAuthor_accounts,OneToMany,account,socialactivity,accountid,postauthor,
Account_Email_EmailSender,OneToMany,account,email,accountid,emailsender,
Account_ProcessSessions,OneToMany,account,processsession,accountid,regardingobjectid,
account_PostRegardings,OneToMany,account,postregarding,accountid,regardingobjectid,
account_qrt_AOSSuggestionBoxes,OneToMany,account,qrt_aossuggestionbox,accountid,regardingobjectid,
account_parent_account,OneToMany,account,account,accountid,parentaccountid,
Account_Tasks,OneToMany,account,task,accountid,regardingobjectid,
account_DeletedItemReferences,OneToMany,account,deleteditemreference,accountid,deletedobject,
